Date,Close,Open,High,Low
2018-02-07,1.2264,1.2378,1.2407,1.2247 
2018-02-06,1.2377,1.2367,1.2434,1.2314
2018-02-05,1.2368,1.2455,1.2475,1.2362
2018-02-02,1.2462,1.2508,1.2519,1.2409
2018-02-01,1.2510,1.2414,1.2524,1.2386
2018-01-31,1.2421,1.2401,1.2476,1.2386
2018-01-30,1.2402,1.2383,1.2455,1.2335
2018-01-29,1.2383,1.2427,1.2436,1.2336
2018-01-26,1.2421,1.2395,1.2495,1.2371
2018-01-25,1.2396,1.2408,1.2537,1.2364
2018-01-24,1.2408,1.2299,1.2417,1.2293
2018-01-23,1.2299,1.2263,1.2308,1.2223
2018-01-22,1.2262,1.2268,1.2276,1.2214
2018-01-19,1.2222,1.2236,1.2296,1.2219
2018-01-18,1.2239,1.2186,1.2267,1.2165
2018-01-17,1.2186,1.2260,1.2324,1.2176
2018-01-16,1.2261,1.2265,1.2284,1.2194
2018-01-15,1.2263,1.2198,1.2298,1.2188
2018-01-12,1.2187,1.2033,1.2190,1.2031
2018-01-11,1.2032,1.1946,1.2060,1.1928
2018-01-10,1.1947,1.1938,1.2019,1.1923
2018-01-09,1.1937,1.1967,1.1977,1.1916
2018-01-08,1.1967,1.2029,1.2054,1.1956
2018-01-05,1.2030,1.2068,1.2085,1.2021
2018-01-04,1.2068,1.2015,1.2090,1.2004
2018-01-03,1.2014,1.2058,1.2070,1.2001
2018-01-02,1.2059,1.2013,1.2084,1.2003
2018-01-01,1.2010,1.2003,1.2014,1.1995
2017-12-29,1.1998,1.1943,1.2030,1.1937
2017-12-28,1.1943,1.1888,1.1961,1.1888
2017-12-27,1.1888,1.1859,1.1912,1.1855
2017-12-26,1.1859,1.1867,1.1879,1.1845
2017-12-25,1.1869,1.1850,1.1882,1.1842
2017-12-22,1.1859,1.1874,1.1878,1.1817
2017-12-21,1.1873,1.1871,1.1889,1.1848
2017-12-20,1.1871,1.1840,1.1903,1.1829
2017-12-19,1.1840,1.1782,1.1851,1.1777
2017-12-18,1.1782,1.1753,1.1834,1.1737
2017-12-15,1.1754,1.1778,1.1814,1.1751
2017-12-14,1.1778,1.1826,1.1863,1.1770
2017-12-13,1.1826,1.1743,1.1832,1.1729
2017-12-12,1.1742,1.1770,1.1794,1.1718
2017-12-11,1.1768,1.1768,1.1812,1.1761
2017-12-08,1.1764,1.1772,1.1778,1.1729
2017-12-07,1.1773,1.1796,1.1816,1.1772
2017-12-06,1.1796,1.1825,1.1849,1.1780
2017-12-05,1.1826,1.1866,1.1879,1.1801
2017-12-04,1.1866,1.1882,1.1890,1.1830
2017-12-01,1.1891,1.1904,1.1942,1.1851
2017-11-30,1.1904,1.1847,1.1933,1.1809
2017-11-29,1.1848,1.1841,1.1883,1.1816
2017-11-28,1.1841,1.1898,1.1921,1.1827
2017-11-27,1.1898,1.1933,1.1962,1.1896
2017-11-24,1.1930,1.1850,1.1944,1.1835
2017-11-23,1.1852,1.1822,1.1856,1.1812
2017-11-22,1.1822,1.1738,1.1829,1.1733
2017-11-21,1.1738,1.1732,1.1759,1.1713
2017-11-20,1.1732,1.1789,1.1808,1.1721
2017-11-17,1.1795,1.1771,1.1823,1.1766
2017-11-16,1.1770,1.1792,1.1802,1.1756
2017-11-15,1.1792,1.1797,1.1861,1.1784
2017-11-14,1.1798,1.1667,1.1807,1.1660
2017-11-13,1.1667,1.1666,1.1677,1.1638
2017-11-10,1.1665,1.1642,1.1680,1.1623
2017-11-09,1.1642,1.1596,1.1657,1.1586
2017-11-08,1.1595,1.1587,1.1612,1.1578
2017-11-07,1.1587,1.1610,1.1618,1.1553
2017-11-06,1.1610,1.1609,1.1625,1.1579
2017-11-03,1.1609,1.1660,1.1692,1.1599
2017-11-02,1.1658,1.1619,1.1689,1.1613
2017-11-01,1.1619,1.1646,1.1659,1.1607
2017-10-31,1.1646,1.1651,1.1663,1.1625
2017-10-30,1.1651,1.1603,1.1660,1.1594
2017-10-27,1.1610,1.1650,1.1659,1.1575
2017-10-26,1.1650,1.1812,1.1837,1.1639
2017-10-25,1.1813,1.1760,1.1819,1.1752
2017-10-24,1.1761,1.1749,1.1794,1.1743
2017-10-23,1.1749,1.1773,1.1779,1.1725
2017-10-20,1.1785,1.1853,1.1859,1.1763
2017-10-19,1.1852,1.1788,1.1860,1.1768
2017-10-18,1.1787,1.1764,1.1806,1.1730
2017-10-17,1.1766,1.1797,1.1801,1.1734
2017-10-16,1.1797,1.1825,1.1827,1.1780
2017-10-13,1.1823,1.1829,1.1875,1.1804
2017-10-12,1.1831,1.1862,1.1881,1.1827
2017-10-11,1.1859,1.1808,1.1871,1.1795
2017-10-10,1.1806,1.1738,1.1825,1.1738
2017-10-09,1.1740,1.1728,1.1757,1.1717
2017-10-06,1.1734,1.1710,1.1739,1.1668
2017-10-05,1.1711,1.1758,1.1780,1.1698
2017-10-04,1.1759,1.1742,1.1789,1.1734
2017-10-03,1.1744,1.1733,1.1775,1.1696
2017-10-02,1.1732,1.1818,1.1818,1.1730
2017-09-29,1.1814,1.1787,1.1834,1.1773
2017-09-28,1.1786,1.1746,1.1805,1.1721
2017-09-27,1.1744,1.1793,1.1797,1.1717
2017-09-26,1.1793,1.1848,1.1863,1.1758
2017-09-25,1.1848,1.1953,1.1962,1.1833
2017-09-22,1.1954,1.1942,1.2006,1.1937
2017-09-21,1.1941,1.1894,1.1955,1.1866
2017-09-20,1.1893,1.1994,1.2033,1.1862
2017-09-19,1.1994,1.1955,1.2008,1.1950
2017-09-18,1.1954,1.1949,1.1971,1.1915
2017-09-15,1.1943,1.1919,1.1988,1.1901
2017-09-14,1.1919,1.1884,1.1922,1.1837
2017-09-13,1.1886,1.1968,1.1996,1.1873
2017-09-12,1.1967,1.1953,1.1980,1.1926
2017-09-11,1.1953,1.2041,1.2041,1.1948
2017-09-08,1.2035,1.2024,1.2094,1.2016
2017-09-07,1.2023,1.1917,1.2061,1.1914
2017-09-06,1.1917,1.1914,1.1951,1.1903
2017-09-05,1.1914,1.1896,1.1941,1.1868
2017-09-04,1.1896,1.1858,1.1923,1.1853
2017-09-01,1.1859,1.1911,1.1981,1.1850
2017-08-31,1.1910,1.1884,1.1914,1.1823
2017-08-30,1.1883,1.1974,1.1986,1.1881
2017-08-29,1.1972,1.1978,1.2069,1.1944
2017-08-28,1.1979,1.1926,1.1985,1.1917
2017-08-25,1.1926,1.1799,1.1942,1.1773
2017-08-24,1.1799,1.1807,1.1821,1.1784
2017-08-23,1.1808,1.1763,1.1825,1.1740
2017-08-22,1.1762,1.1815,1.1826,1.1745
2017-08-21,1.1816,1.1750,1.1830,1.1731
2017-08-18,1.1762,1.1723,1.1775,1.1707
2017-08-17,1.1724,1.1767,1.1790,1.1662
2017-08-16,1.1770,1.1734,1.1780,1.1682
2017-08-15,1.1735,1.1780,1.1794,1.1688
2017-08-14,1.1780,1.1806,1.1840,1.1770
2017-08-11,1.1820,1.1772,1.1846,1.1747
2017-08-10,1.1772,1.1759,1.1786,1.1704
2017-08-09,1.1759,1.1752,1.1765,1.1689
2017-08-08,1.1750,1.1794,1.1825,1.1714
2017-08-07,1.1795,1.1768,1.1816,1.1768
2017-08-04,1.1772,1.1871,1.1893,1.1731
2017-08-03,1.1870,1.1856,1.1894,1.1831
2017-08-02,1.1856,1.1802,1.1911,1.1794
2017-08-01,1.1801,1.1841,1.1846,1.1784
2017-07-31,1.1842,1.1737,1.1847,1.1723
2017-07-28,1.1752,1.1677,1.1765,1.1671
2017-07-27,1.1677,1.1734,1.1777,1.1649
2017-07-26,1.1734,1.1648,1.1741,1.1613
2017-07-25,1.1652,1.1639,1.1713,1.1631
2017-07-24,1.1642,1.1662,1.1688,1.1628
2017-07-21,1.1663,1.1634,1.1684,1.1620
2017-07-20,1.1631,1.1513,1.1657,1.1479
2017-07-19,1.1515,1.1553,1.1559,1.1509
2017-07-18,1.1555,1.1479,1.1585,1.1473
2017-07-17,1.1479,1.1463,1.1488,1.1433
2017-07-14,1.1469,1.1400,1.1473,1.1392
2017-07-13,1.1399,1.1413,1.1459,1.1373
2017-07-12,1.1412,1.1467,1.1491,1.1392
2017-07-11,1.1467,1.1399,1.1481,1.1383
2017-07-10,1.1400,1.1391,1.1418,1.1381
2017-07-07,1.1401,1.1423,1.1440,1.1379
2017-07-06,1.1423,1.1351,1.1425,1.1329
2017-07-05,1.1353,1.1345,1.1369,1.1312
2017-07-04,1.1345,1.1366,1.1380,1.1338
2017-07-03,1.1364,1.1422,1.1431,1.1357
2017-06-30,1.1426,1.1442,1.1448,1.1393
2017-06-29,1.1441,1.1376,1.1446,1.1373
2017-06-28,1.1378,1.1339,1.1392,1.1292
2017-06-27,1.1339,1.1183,1.1351,1.1178
2017-06-26,1.1182,1.1202,1.1222,1.1173
2017-06-25,1.1194,1.1152,1.1211,1.1145
2017-06-22,1.1153,1.1168,1.1179,1.1140
2017-06-21,1.1168,1.1133,1.1171,1.1128
2017-06-20,1.1134,1.1147,1.1166,1.1117
2017-06-19,1.1149,1.1199,1.1214,1.1141
2017-06-16,1.1197,1.1143,1.1202,1.1138
2017-06-15,1.1145,1.1219,1.1231,1.1132
2017-06-14,1.1218,1.1210,1.1296,1.1191
2017-06-13,1.1216,1.1204,1.1225,1.1185
2017-06-12,1.1203,1.1196,1.1235,1.1193
2017-06-09,1.1195,1.1216,1.1240,1.1168
2017-06-08,1.1214,1.1257,1.1270,1.1195
2017-06-07,1.1257,1.1277,1.1284,1.1205
2017-06-06,1.1277,1.1254,1.1286,1.1240
2017-06-05,1.1254,1.1279,1.1286,1.1235
2017-06-04,1.1282,1.1213,1.1287,1.1205
2017-06-01,1.1213,1.1242,1.1258,1.1203
2017-05-31,1.1244,1.1187,1.1254,1.1166
2017-05-30,1.1185,1.1166,1.1208,1.1111
2017-05-29,1.1166,1.1178,1.1191,1.1160
2017-05-26,1.1183,1.1211,1.1235,1.1159
2017-05-25,1.1210,1.1218,1.1252,1.1193
2017-05-24,1.1219,1.1184,1.1222,1.1169
2017-05-23,1.1183,1.1237,1.1269,1.1174
2017-05-22,1.1238,1.1202,1.1265,1.1162
2017-05-19,1.1207,1.1103,1.1214,1.1097
2017-05-18,1.1103,1.1160,1.1173,1.1075
2017-05-17,1.1159,1.1083,1.1163,1.1079
2017-05-16,1.1082,1.0976,1.1098,1.0972
2017-05-15,1.0975,1.0926,1.0991,1.0922
2017-05-14,1.0931,1.0863,1.0937,1.0857
2017-05-11,1.0861,1.0869,1.0894,1.0838
2017-05-10,1.0868,1.0874,1.0900,1.0853
2017-05-09,1.0873,1.0924,1.0934,1.0863
2017-05-08,1.0924,1.0998,1.1024,1.0917
2017-05-07,1.0998,1.0991,1.1003,1.0951
2017-05-04,1.0985,1.0884,1.0987,1.0873
2017-05-03,1.0885,1.0930,1.0939,1.0883
2017-05-02,1.0930,1.0901,1.0936,1.0889
2017-05-01,1.0899,1.0906,1.0924,1.0883
2017-04-28,1.0897,1.0877,1.0949,1.0857
2017-04-27,1.0873,1.0903,1.0933,1.0851
2017-04-26,1.0903,1.0924,1.0951,1.0856
2017-04-25,1.0926,1.0868,1.0951,1.0851
2017-04-24,1.0867,1.0890,1.0936,1.0819
2017-04-21,1.0728,1.0719,1.0739,1.0682
2017-04-20,1.0717,1.0711,1.0780,1.0709
2017-04-19,1.0711,1.0730,1.0738,1.0700